"Awarding Organisation","Title","Qualification Number","Status","Type","Level","Sector Subject Area","Included in performance tables","Certificates"
"BHS Qualifications","BHSQ Level 2 Diploma For The Ride Leader","600/8290/2","Available to learners","Occupational Qualification","Level 2","Leisure, Travel and Tourism","No",5
"BHS Qualifications","BHSQ Level 3 Diploma For The Ride Leader","600/8291/4","Available to learners","Occupational Qualification","Level 3","Leisure, Travel and Tourism","No",0
"BHS Qualifications","BHSQ Level 4 Senior Yard Manager (Stage 4)","603/5123/8","Available to learners","Occupational Qualification","Level 4","Agriculture, Horticulture and Animal Care","No",0
"BHS Qualifications","BHSQ Level 4 Senior Yard Manager with Riding (Stage 4)","603/5124/X","Available to learners","Occupational Qualification","Level 4","Agriculture, Horticulture and Animal Care","No",0
"BHS Qualifications","BHSQ Level 4 Senior Eventing Coach (Stage 4) ","603/5125/1","Available to learners","Occupational Qualification","Level 4","Agriculture, Horticulture and Animal Care","No",0
"BHS Qualifications","BHSQ Level 4 Senior Dressage Coach (Stage 4)","603/5126/3","Available to learners","Occupational Qualification","Level 4","Agriculture, Horticulture and Animal Care","No",0
"BHS Qualifications","BHSQ Level 4 Senior Show Jumping Coach (Stage 4)","603/5127/5","Available to learners","Occupational Qualification","Level 4","Agriculture, Horticulture and Animal Care","No",0
"BIIAB","BIIAB Level 2 Award for Designated Premises Supervisors","500/3634/8","No longer awarded","Occupational Qualification","Level 2","Retail and Commercial Enterprise","No",50
"BIIAB","BIIAB Level 1 Award in Alcohol Awareness","500/5604/9","Available to learners","Vocationally-Related Qualification","Level 1","Retail and Commercial Enterprise","No",100
"BIIAB","BIIAB Level 2 Award in Cooking Theory and Practice","500/7536/6","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",15
"BIIAB","BIIAB Level 2 Award for Music Promoters","500/7574/3","Available to learners","Occupational Qualification","Level 2","Retail and Commercial Enterprise","No",0
"BIIAB","BIIAB Level 1 Award in Responsible Alcohol Retailing","500/7744/2","Available to learners","Vocationally-Related Qualification","Level 1","Retail and Commercial Enterprise","No",560
"BIIAB","BIIAB Level 2 Award in Working Within Gambling Legislation","500/7771/5","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",55
"BIIAB","BIIAB Level 3 Award in Kitchen Management","500/9875/5","Available to learners","Vocationally-Related Qualification","Level 3","Retail and Commercial Enterprise","No",20
"BIIAB","BIIAB Level 2 Award in Conflict Management for Licensed Premises Staff","501/0373/8","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",35
"BIIAB","BIIAB Level 1 Award in Essentials of Catering","501/0434/2","Available to learners","Vocationally-Related Qualification","Level 1","Retail and Commercial Enterprise","No",50
"BIIAB","BIIAB Level 2 Award in Drugs Awareness for Licensed Hospitality Staff","501/1268/5","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",75
"BIIAB","BIIAB Level 2 Award in Assessment of Licensed Premises (Social Responsibility) (QCF)","501/1287/9","No longer awarded","QCF","Level 2","Retail and Commercial Enterprise","No",35
"BIIAB","BIIAB Level 2 Award in Food Safety in Catering","501/1302/1","Available to learners","Other Vocational Qualification","Level 2","Retail and Commercial Enterprise","No",780
"BIIAB","BIIAB Level 2 Award for Personal Licence Holders","501/1494/3","Available to learners","Occupational Qualification","Level 2","Retail and Commercial Enterprise","No",7945
"BIIAB","BIIAB Level 2 Certificate in Cellar Service Installation and Maintenance","501/1532/7","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",20
"BIIAB","BIIAB Level 1 Award in Introduction to Employment in the Hospitality Industry","501/1806/7","Available to learners","Vocationally-Related Qualification","Level 1","Retail and Commercial Enterprise","No",0
"BIIAB","BIIAB Level 2 Award for Licensing Practitioners (Alcohol)","501/1909/6","Available to learners","Occupational Qualification","Level 2","Retail and Commercial Enterprise","No",140
"BIIAB","BIIAB Level 2 Award for Licensing Practitioners (Gambling)","501/2348/8","Available to learners","Occupational Qualification","Level 2","Retail and Commercial Enterprise","No",35
"BIIAB","BIIAB Level 1 Award In Wine Service","600/2141/X","Available to learners","Vocationally-Related Qualification","Level 1","Retail and Commercial Enterprise","No",20
"BIIAB","BIIAB Level 2 Award in Fire Safety","600/2844/0","Available to learners","Other Vocational Qualification","Level 2","Retail and Commercial Enterprise","No",30
"BIIAB","BIIAB Level 1 Award in Smoking Awareness (QCF)","600/2928/6","No longer awarded","QCF","Level 1","Health, Public Services and Care","No",15
"BIIAB","BIIAB Level 2 Award in Crime Scene Preservation","600/3072/0","Available to learners","Vocationally-Related Qualification","Level 2","Health, Public Services and Care","No",25
"BIIAB","BIIAB Level 2 Award In Health and Safety in the Workplace","600/3278/9","Available to learners","Other Vocational Qualification","Level 2","Engineering and Manufacturing Technologies","No",155
"BIIAB","BIIAB Level 2 Award In Licensed Hospitality Operations","600/3355/1","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",470
"BIIAB","BIIAB Level 3 Award In Hospitality Business Management","600/4570/X","Available to learners","Vocationally-Related Qualification","Level 3","Retail and Commercial Enterprise","No",10
"BIIAB","BIIAB Level 3 Certificate In Hospitality Business Management","600/4577/2","Available to learners","Vocationally-Related Qualification","Level 3","Retail and Commercial Enterprise","No",0
"BIIAB","BIIAB Level 2 Award in Licensed Retailing","600/5047/0","No longer awarded","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",10
"BIIAB","BIIAB Level 2 Award In Beer and Cellar Quality (Cask and Keg)","600/5152/8","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",5315
"BIIAB","BIIAB Level 4 Certificate in Multiple Licensed Premises Management (QCF)","600/5159/0","No longer awarded","QCF","Level 4","Retail and Commercial Enterprise","No",0
"BIIAB","BIIAB Level 2 Award In Beer and Cellar Quality (Keg)","600/5162/0","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",85
"BIIAB","BIIAB Level 3 Diploma In Licensed Hospitality Skills","600/5183/8","Available to learners","Occupational Qualification","Level 3","Retail and Commercial Enterprise","No",25
"BIIAB","BIIAB Level 3 Certificate In Licensed Hospitality Operations","600/5195/4","Available to learners","Vocationally-Related Qualification","Level 3","Retail and Commercial Enterprise","No",30
"BIIAB","BIIAB Level 3 Award In Supervising Food Safety in Catering","600/5224/7","Available to learners","Other Vocational Qualification","Level 3","Retail and Commercial Enterprise","No",30
"BIIAB","BIIAB Level 3 Award In Health and Safety in the Workplace","600/5778/6","Available to learners","Other Vocational Qualification","Level 3","Retail and Commercial Enterprise","No",0
"BIIAB","BIIAB Level 2 Certificate In Licensed Hospitality Skills (QCF)","600/9057/1","No longer awarded","QCF","Level 2","Retail and Commercial Enterprise","No",0
"BIIAB","BIIAB Level 1 Certificate in Customer Service","601/3733/2","Available to learners","Vocationally-Related Qualification","Level 1","Business, Administration and Law","No",715
"BIIAB","BIIAB Level 2 Diploma in Customer Service","601/3734/4","Available to learners","Vocationally-Related Qualification","Level 2","Business, Administration and Law","No",550
"BIIAB","BIIAB Level 3 Diploma in Customer Service","601/3735/6","Available to learners","Vocationally-Related Qualification","Level 3","Business, Administration and Law","No",110
"BIIAB","BIIAB Level 1 Certificate in Business Administration","601/3736/8","Available to learners","Vocationally-Related Qualification","Level 1","Business, Administration and Law","No",0
"BIIAB","BIIAB Level 2 Diploma In Business Administration","601/3741/1","Available to learners","Vocationally-Related Qualification","Level 2","Business, Administration and Law","No",460
"BIIAB","BIIAB Level 3 Diploma in Business Administration","601/3742/3","Available to learners","Vocationally-Related Qualification","Level 3","Business, Administration and Law","No",360
"BIIAB","BIIAB Level 2 Diploma in Team Leading","601/3743/5","Available to learners","Vocationally-Related Qualification","Level 2","Business, Administration and Law","No",425
"BIIAB","BIIAB Level 3 Diploma in Management","601/3744/7","Available to learners","Vocationally-Related Qualification","Level 3","Business, Administration and Law","No",375
"BIIAB","BIIAB Level 3 NVQ Diploma in Contact Centre Operations","601/4124/4","Available to learners","Occupational Qualification","Level 3","Business, Administration and Law","No",0
"BIIAB","BIIAB Level 2 Certificate in Contact Centre Operations","601/4125/6","Available to learners","Occupational Qualification","Level 2","Business, Administration and Law","No",0
"BIIAB","BIIAB Level 2 NVQ Certificate In Contact Centre Operations","601/4126/8","Available to learners","Occupational Qualification","Level 2","Business, Administration and Law","No",0
"BIIAB","BIIAB Level 3 Certificate In Contact Centre Operations","601/4127/X","Available to learners","Occupational Qualification","Level 3","Business, Administration and Law","No",0
"BIIAB","BIIAB Entry Level Award In Foundation Learning and Employability Skills (Entry 3)","601/4132/3","Available to learners","Other Life Skills Qualification","Entry Level","Preparation for Life and Work","No",25
"BIIAB","BIIAB Level 1 Award In Foundation Learning and Employability Skills ","601/4133/5","Available to learners","Other Life Skills Qualification","Level 1","Preparation for Life and Work","No",115
"BIIAB","BIIAB Level 1 Certificate In Foundation Learning and Employability Skills ","601/4152/9","Available to learners","Other Life Skills Qualification","Level 1","Preparation for Life and Work","No",910
"BIIAB","BIIAB Level 2 Certificate In Pub Chef Skills","601/4163/3","Available to learners","Occupational Qualification","Level 2","Retail and Commercial Enterprise","No",15
"BIIAB","BIIAB Entry Level Certificate In Foundation Learning and Employability Skills (Entry 3)","601/4207/8","Available to learners","Other Life Skills Qualification","Entry Level","Preparation for Life and Work","No",115
"BIIAB","BIIAB Level 2 Certificate In Pub Chef Operations","601/4246/7","Available to learners","Occupational Qualification","Level 2","Retail and Commercial Enterprise","No",20
"BIIAB","BIIAB Level 4 NVQ Diploma in Management","601/4601/1","Available to learners","Occupational Qualification","Level 4","Business, Administration and Law","No",100
"BIIAB","BIIAB Level 5 NVQ Diploma in Management and Leadership","601/4602/3","Available to learners","Occupational Qualification","Level 5","Business, Administration and Law","No",50
"BIIAB","BIIAB Level 2 Award In Employee Rights and Responsibilities","601/4607/2","Available to learners","Other Life Skills Qualification","Level 2","Business, Administration and Law","No",130
"BIIAB","BIIAB Level 2 Award for Upskilling a Door Supervisor within the Private Security Industry","601/4795/7","Available to learners","Occupational Qualification","Level 2","Health, Public Services and Care","No",15
"BIIAB","BIIAB Level 2 Award for Working as a Security Officer within the Private Security Industry","601/4811/1","Available to learners","Occupational Qualification","Level 2","Health, Public Services and Care","No",20
"BIIAB","BIIAB Level 2 Award In CCTV Operations (Public Space Surveillance) within the Private Security Industry","601/4813/5","Available to learners","Occupational Qualification","Level 2","Health, Public Services and Care","No",180
"BIIAB","BIIAB Level 2 Award for Working as a Door Supervisor within the Private Security Industry","601/4814/7","Available to learners","Occupational Qualification","Level 2","Health, Public Services and Care","No",1510
"BIIAB","BIIAB Level 2 Certificate In Licensed Hospitality Skills","601/4850/0","Available to learners","Occupational Qualification","Level 2","Retail and Commercial Enterprise","No",310
"BIIAB","BIIAB Level 2 Certificate In Licensed Hospitality Operations","601/4851/2","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",345
"BIIAB","BIIAB Level 3 Award In Understanding the Principles and Practices of Assessment","601/5094/4","Available to learners","Occupational Qualification","Level 3","Education and Training","No",5
"BIIAB","BIIAB Level 3 Award In Assessing Competence in the Work Environment","601/5096/8","Available to learners","Occupational Qualification","Level 3","Education and Training","No",25
"BIIAB","BIIAB Level 3 Award In Assessing Vocationally Related Achievement","601/5097/X","Available to learners","Occupational Qualification","Level 3","Education and Training","No",5
"BIIAB","BIIAB Level 3 Certificate In Assessing Vocational Achievement","601/5101/8","Available to learners","Occupational Qualification","Level 3","Education and Training","No",60
"BIIAB","BIIAB Level 4 Award In Understanding the Internal Quality Assurance of Assessment Processes and Practice","601/5102/X","Available to learners","Occupational Qualification","Level 4","Education and Training","No",0
"BIIAB","BIIAB Level 4 Award In the Internal Quality Assurance of Assessment Processes and Practice","601/5103/1","Available to learners","Occupational Qualification","Level 4","Education and Training","No",20
"BIIAB","BIIAB Level 4 Certificate In Leading the Internal Quality Assurance of Assessment Processes and Practice","601/5104/3","Available to learners","Occupational Qualification","Level 4","Education and Training","No",0
"BIIAB","BIIAB Level 4 Award In Understanding the External Quality Assurance of Assessment Processes and Practice","601/5105/5","Available to learners","Occupational Qualification","Level 4","Education and Training","No",5
"BIIAB","BIIAB Level 4 Award In the External Quality Assurance of Assessment Processes and Practice","601/5106/7","Available to learners","Occupational Qualification","Level 4","Education and Training","No",5
"BIIAB","BIIAB Level 4 Certificate In Leading the External Quality Assurance of Assessment Processes and Practice","601/5111/0","Available to learners","Occupational Qualification","Level 4","Education and Training","No",5
"BIIAB","BIIAB Entry Level Extended Award In Foundation Learning and Employability Skills (Entry 3) ","601/5193/6","Available to learners","Other Life Skills Qualification","Entry Level","Preparation for Life and Work","No",0
"BIIAB","BIIAB Level 1 Extended Award In Foundation Learning and Employability Skills","601/5227/8","Available to learners","Other Life Skills Qualification","Level 1","Preparation for Life and Work","No",45
"BIIAB","BIIAB Level 3 Diploma in Libraries, Archives and Information Services","601/5316/7","Available to learners","Occupational Qualification","Level 3","Arts, Media and Publishing","No",0
"BIIAB","BIIAB Level 2 Certificate in Libraries, Archives and Information Services","601/5317/9","No longer available to new learners","Occupational Qualification","Level 2","Arts, Media and Publishing","No",5
"BIIAB","BIIAB Level 2 Certificate In Hospitality and Catering Principles (Food Service)","601/5681/8","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",0
"BIIAB","BIIAB Level 2 Certificate In Hospitality and Catering Principles (Food and Beverage Service)","601/5682/X","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",80
"BIIAB","BIIAB Level 2 Certificate In Hospitality and Catering Principles (Kitchen Services)","601/5683/1","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",5
"BIIAB","BIIAB Level 2 Certificate In Hospitality and Catering Principles (Professional Cookery - Food Preparation and Cooking)","601/5684/3","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",0
"BIIAB","BIIAB Level 2 Certificate In Hospitality and Catering Principles (Professional Cookery)","601/5685/5","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",40
"BIIAB","BIIAB Level 2 NVQ Diploma in Beverage Services","601/5686/7","Available to learners","Occupational Qualification","Level 2","Retail and Commercial Enterprise","No",5
"BIIAB","BIIAB Level 2 NVQ Diploma in Food and Beverage Service","601/5687/9","Available to learners","Occupational Qualification","Level 2","Retail and Commercial Enterprise","No",410
"BIIAB","BIIAB Level 2 NVQ Diploma in Food Production and Cooking","601/5688/0","Available to learners","Occupational Qualification","Level 2","Retail and Commercial Enterprise","No",75
"BIIAB","BIIAB Level 2 NVQ Diploma in Food Service","601/5689/2","Available to learners","Occupational Qualification","Level 2","Retail and Commercial Enterprise","No",0
"BIIAB","BIIAB Level 2 NVQ Diploma in Kitchen Services","601/5690/9","Available to learners","Occupational Qualification","Level 2","Retail and Commercial Enterprise","No",15
"BIIAB","BIIAB Level 2 NVQ Diploma in Professional Cookery","601/5691/0","Available to learners","Occupational Qualification","Level 2","Retail and Commercial Enterprise","No",185
"BIIAB","BIIAB Level 2 NVQ Diploma in Professional Cookery (Preparation and Cooking)","601/5692/2","Available to learners","Occupational Qualification","Level 2","Retail and Commercial Enterprise","No",180
"BIIAB","BIIAB Level 3 NVQ Diploma in Hospitality Supervision and Leadership","601/5693/4","Available to learners","Occupational Qualification","Level 3","Retail and Commercial Enterprise","No",110
"BIIAB","BIIAB Level 2 Certificate In Hospitality and Catering Principles (Beverage Service)","601/5694/6","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",5
"BIIAB","BIIAB Level 3 Award In Hospitality Supervision and Leadership Principles","601/5695/8","Available to learners","Vocationally-Related Qualification","Level 3","Retail and Commercial Enterprise","No",100
"BIIAB","BIIAB Level 3 Award In Education and Training","601/5960/1","Available to learners","Occupational Qualification","Level 3","Education and Training","No",20
"BIIAB","BIIAB Level 4 Certificate In Education and Training","601/5961/3","Available to learners","Occupational Qualification","Level 4","Education and Training","No",5
"BIIAB","BIIAB Level 2 Certificate in Technical Theatre Support: Sound, Light and Stage","601/6119/X","Available to learners","Occupational Qualification","Level 2","Arts, Media and Publishing","No",35
"BIIAB","BIIAB Level 3 Certificate in Technical Theatre: Sound, Light and Stage","601/6120/6","No longer available to new learners","Occupational Qualification","Level 3","Arts, Media and Publishing","No",20
"BIIAB","BIIAB Level 2 Award In Awareness of Dementia","601/6122/X","Available to learners","Vocationally-Related Qualification","Level 2","Health, Public Services and Care","No",0
"BIIAB","BIIAB Level 2 Certificate in the Principles of Dementia Care","601/6123/1","Available to learners","Vocationally-Related Qualification","Level 2","Health, Public Services and Care","No",40
"BIIAB","BIIAB Level 2 Certificate in Principles of Working with Individuals with Learning Disabilities","601/6125/5","Available to learners","Vocationally-Related Qualification","Level 2","Health, Public Services and Care","No",15
"BIIAB","BIIAB Level 2 Certificate in Understanding Working in Mental Health","601/6126/7","Available to learners","Vocationally-Related Qualification","Level 2","Health, Public Services and Care","No",30
"BIIAB","BIIAB Level 3 Award in Awareness of Dementia","601/6127/9","Available to learners","Vocationally-Related Qualification","Level 3","Health, Public Services and Care","No",0
"BIIAB","BIIAB Level 3 Award in the Awareness of the Mental Capacity Act 2005","601/6128/0","Available to learners","Vocationally-Related Qualification","Level 3","Health, Public Services and Care","No",0
"BIIAB","BIIAB Level 2 Award in Awareness of End of Life Care","601/6129/2","Available to learners","Vocationally-Related Qualification","Level 2","Health, Public Services and Care","No",0
"BIIAB","BIIAB Level 2 Certificate in Understanding End of Life Care","601/6130/9","Available to learners","Vocationally-Related Qualification","Level 2","Health, Public Services and Care","No",55
"BIIAB","BIIAB Level 2 Certificate in the Principles of the Prevention and Control of Infection in Health Care settings","601/6132/2","Available to learners","Vocationally-Related Qualification","Level 2","Health, Public Services and Care","No",25
"BIIAB","BIIAB Level 2 Certificate in Understanding the Safe Handling of Medicines","601/6133/4","Available to learners","Vocationally-Related Qualification","Level 2","Health, Public Services and Care","No",120
"BIIAB","BIIAB Level 3 Award in Awareness of End of Life Care","601/6134/6","Available to learners","Vocationally-Related Qualification","Level 3","Health, Public Services and Care","No",0
"BIIAB","BIIAB Level 3 Certificate in the Principles of End of Life Care","601/6135/8","Available to learners","Vocationally-Related Qualification","Level 3","Health, Public Services and Care","No",0
"BIIAB","BIIAB Level 2 Award in Principles of the Creative and Cultural Sector ","601/6165/6","Available to learners","Vocationally-Related Qualification","Level 2","Arts, Media and Publishing","No",40
"BIIAB","BIIAB Level 3 Certificate in Principles of the Creative and Cultural Sector","601/6169/3","Available to learners","Vocationally-Related Qualification","Level 3","Arts, Media and Publishing","No",35
"BIIAB","BIIAB Level 2 Certificate in Supporting Live Events and Promotion","601/6197/8","Available to learners","Occupational Qualification","Level 2","Arts, Media and Publishing","No",10
"BIIAB","BIIAB Level 3 Diploma in Live Events and Promotion","601/6198/X","Available to learners","Occupational Qualification","Level 3","Arts, Media and Publishing","No",5
"BIIAB","BIIAB Level 2 NVQ Diploma in Hospitality Services","601/6212/0","Available to learners","Occupational Qualification","Level 2","Retail and Commercial Enterprise","No",15
"BIIAB","BIIAB Level 2 Certificate In Hospitality and Catering Principles (Front of House Reception)","601/6213/2","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",0
"BIIAB","BIIAB Level 3 Certificate in Hospitality and Catering Principles (Professional Cookery)","601/6214/4","Available to learners","Vocationally-Related Qualification","Level 3","Retail and Commercial Enterprise","No",35
"BIIAB","BIIAB Level 2 Award In Barista Skills","601/6216/8","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",0
"BIIAB","BIIAB Level 2 Certificate in Hospitality and Catering Principles (Housekeeping)","601/6223/5","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",20
"BIIAB","BIIAB Level 3 NVQ Diploma in Professional Cookery (Preparation and Cooking)","601/6225/9","Available to learners","Occupational Qualification","Level 3","Retail and Commercial Enterprise","No",70
"BIIAB","BIIAB Level 3 NVQ Diploma in Professional Cookery","601/6226/0","Available to learners","Occupational Qualification","Level 3","Retail and Commercial Enterprise","No",45
"BIIAB","BIIAB Level 2 Certificate In Hospitality and Catering Principles (Food Production and Cooking)","601/6227/2","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",65
"BIIAB","BIIAB Level 2 NVQ Diploma in Housekeeping","601/6229/6","Available to learners","Occupational Qualification","Level 2","Retail and Commercial Enterprise","No",20
"BIIAB","BIIAB Level 2 NVQ Diploma in Front of House Reception ","601/6241/7","Available to learners","Occupational Qualification","Level 2","Retail and Commercial Enterprise","No",0
"BIIAB","BIIAB Level 3 Certificate In General Patisserie and Confectionery","601/6242/9","Available to learners","Vocationally-Related Qualification","Level 3","Retail and Commercial Enterprise","No",0
"BIIAB","BIIAB Level 2 Certificate in Hospitality and Catering Principles (Hospitality Services)","601/6243/0","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",15
"BIIAB","BIIAB  Level 3 NVQ Diploma in Professional Cookery (Patisserie and Confectionery)","601/6244/2","Available to learners","Occupational Qualification","Level 3","Retail and Commercial Enterprise","No",0
"BIIAB","BIIAB Level 1 NVQ Certificate in Food Preparation and Cooking","601/6398/7","Available to learners","Occupational Qualification","Level 1","Retail and Commercial Enterprise","No",15
"BIIAB","BIIAB Level 1 Diploma In Introduction to Professional Cookery","601/6445/1","Available to learners","Vocationally-Related Qualification","Level 1","Retail and Commercial Enterprise","No",5
"BIIAB","BIIAB Level 3 Diploma In Professional Competence for IT and Telecoms Professionals (PROCOM)","601/6447/5","Available to learners","Occupational Qualification","Level 3","Information and Communication Technology","No",5
"BIIAB","BIIAB Level 2 Certificate In General Patisserie and Confectionery","601/6448/7","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",25
"BIIAB","BIIAB Level 3 Diploma In ICT Systems and Principles for Professionals","601/6449/9","Available to learners","Occupational Qualification","Level 3","Information and Communication Technology","No",0
"BIIAB","BIIAB Level 2 Diploma In Professional Competence for IT and Telecoms Professionals (PROCOM)","601/6450/5","Available to learners","Occupational Qualification","Level 2","Information and Communication Technology","No",5
"BIIAB","BIIAB Level 3 Certificate In ICT Systems and Principles for Professionals","601/6461/X","Available to learners","Occupational Qualification","Level 3","Information and Communication Technology","No",0
"BIIAB","BIIAB Level 2 Diploma In IT User Skills (ITQ)","601/6462/1","Available to learners","Vocationally-Related Qualification","Level 2","Information and Communication Technology","No",5
"BIIAB","BIIAB Level 3 Diploma In IT User Skills (ITQ)","601/6466/9","Available to learners","Vocationally-Related Qualification","Level 3","Information and Communication Technology","No",5
"BIIAB","BIIAB Level 2 Award In ICT Systems and Principles for Practitioners","601/6468/2","Available to learners","Occupational Qualification","Level 2","Information and Communication Technology","No",0
"BIIAB","BIIAB Level 2 Diploma In ICT Systems and Principles for Practitioners","601/6469/4","Available to learners","Vocationally-Related Qualification","Level 2","Information and Communication Technology","No",0
"BIIAB","BIIAB Level 2 Certificate In ICT Systems and Principles for Practitioners","601/6470/0","Available to learners","Occupational Qualification","Level 2","Information and Communication Technology","No",5
"BIIAB","BIIAB Level 2 Award in Employment Responsibilities and Rights in Health, Social Care, Children and Young People's Settings","601/6473/6","Available to learners","Vocationally-Related Qualification","Level 2","Health, Public Services and Care","No",1410
"BIIAB","BIIAB Level 2 Award In IT User Skills","601/6490/6","Available to learners","Vocationally-Related Qualification","Level 2","Information and Communication Technology","No",0
"BIIAB","BIIAB Level 3 Diploma In IT User Skills","601/6492/X","Available to learners","Vocationally-Related Qualification","Level 3","Information and Communication Technology","No",0
"BIIAB","BIIAB Level 1 Certificate In IT User Skills","601/6493/1","Available to learners","Vocationally-Related Qualification","Level 1","Information and Communication Technology","No",645
"BIIAB","BIIAB Level 2 Certificate In IT User Skills","601/6494/3","Available to learners","Vocationally-Related Qualification","Level 2","Information and Communication Technology","No",45
"BIIAB","BIIAB Level 2 Certificate in Preparing to Work in Adult Social Care","601/6495/5","No longer available to new learners","Vocationally-Related Qualification","Level 2","Health, Public Services and Care","No",790
"BIIAB","BIIAB Level 2 Certificate in Cultural Heritage","601/6496/7","Available to learners","Occupational Qualification","Level 2","Arts, Media and Publishing","No",0
"BIIAB","BIIAB Level 3 Diploma in Cultural Heritage","601/6497/9","Available to learners","Occupational Qualification","Level 3","Arts, Media and Publishing","No",35
"BIIAB","BIIAB Level 3 Certificate in Preparing to Work in Adult Social Care","601/6499/2","Available to learners","Vocationally-Related Qualification","Level 3","Health, Public Services and Care","No",710
"BIIAB","BIIAB Level 3 Award In IT User Skills","601/6500/5","Available to learners","Vocationally-Related Qualification","Level 3","Information and Communication Technology","No",0
"BIIAB","BIIAB Level 3 Certificate In IT User Skills","601/6502/9","Available to learners","Vocationally-Related Qualification","Level 3","Information and Communication Technology","No",0
"BIIAB","BIIAB Level 1 Award In IT User Skills","601/6503/0","Available to learners","Vocationally-Related Qualification","Level 1","Information and Communication Technology","No",0
"BIIAB","BIIAB Level 1 Diploma In IT User Skills","601/6514/5","Available to learners","Vocationally-Related Qualification","Level 1","Information and Communication Technology","No",0
"BIIAB","BIIAB Level 2 Diploma In IT User Skills","601/6515/7","Available to learners","Vocationally-Related Qualification","Level 2","Information and Communication Technology","No",0
"BIIAB","BIIAB Level 4 Diploma In Professional Competence for IT and Telecoms Professionals (PROCOM)","601/6521/2","Available to learners","Occupational Qualification","Level 4","Information and Communication Technology","No",0
"BIIAB","BIIAB Level 2 Certificate In Retail Skills","601/6556/X","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",30
"BIIAB","BIIAB Level 3 Certificate In Retail Knowledge","601/6557/1","Available to learners","Vocationally-Related Qualification","Level 3","Retail and Commercial Enterprise","No",5
"BIIAB","BIIAB Level 3 Diploma In Retail Skills (Management)","601/6560/1","Available to learners","Vocationally-Related Qualification","Level 3","Retail and Commercial Enterprise","No",5
"BIIAB","BIIAB Level 3 Diploma In Retail Skills (Visual Merchandising) ","601/6561/3","Available to learners","Vocationally-Related Qualification","Level 3","Retail and Commercial Enterprise","No",0
"BIIAB","BIIAB Level 3 Diploma In Retail Skills (Sales Professional)","601/6573/X","Available to learners","Vocationally-Related Qualification","Level 3","Retail and Commercial Enterprise","No",0
"BIIAB","BIIAB Level 2 Award In Employment and Personal Learning Skills in Health","601/6575/3","Available to learners","Vocationally-Related Qualification","Level 2","Health, Public Services and Care","No",115
"BIIAB","BIIAB Level 2 Diploma In Optical Retail Skills","601/6576/5","Available to learners","Occupational Qualification","Level 2","Health, Public Services and Care","No",115
"BIIAB","BIIAB Level 3 Diploma In Optical Retail Skills","601/6577/7","Available to learners","Occupational Qualification","Level 3","Health, Public Services and Care","No",5
"BIIAB","BIIAB Level 2 Certificate In Retail Knowledge ","601/6578/9","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",40
"BIIAB","BIIAB Level 2 Diploma In Retail Skills","601/6579/0","Available to learners","Vocationally-Related Qualification","Level 2","Retail and Commercial Enterprise","No",15
"BIIAB","BIIAB Level 3 Certificate In Retail Skills (Management)","601/6583/2","No longer available to new learners","Vocationally-Related Qualification","Level 3","Retail and Commercial Enterprise","No",0
"BIIAB","BIIAB Level 1 Certificate In Retail Knowledge","601/6588/1","Available to learners","Vocationally-Related Qualification","Level 1","Retail and Commercial Enterprise","No",0
"BIIAB","BIIAB Level 3 Award In Employment and Personal Learning Skills in Health","601/6592/3","Available to learners","Vocationally-Related Qualification","Level 3","Health, Public Services and Care","No",5
"BIIAB","BIIAB Level 2 Certificate In Lean Organisation Management Techniques","601/6602/2","Available to learners","Vocationally-Related Qualification","Level 2","Engineering and Manufacturing Technologies","No",70
